IDDESA,NAMA_KAB,NAMA_KEC,NAMA_DESA,R105,Latitude,R307B_LAT2,Longitude,total_kk,total_penduduk,sktm,sktm_per_100kk,skor_kesejahteraan,sektor_dominan,grup_sektor,sektor_industri,sektor_jasa,sektor_lainnya,sektor_perdagangan,sektor_pertanian,subsektor_pertanian,is_pertanian,skor_diversifikasi,ada_pades,jumlah_bumdes,ada_bumdes,skor_bumdes,jumlah_kud,jumlah_kospin,total_koperasi,ada_koperasi,skor_koperasi,skor_kelembagaan,ada_produk_unggulan,orientasi_ekspor,industri_makanan,industri_kerajinan,total_industri,ada_industri,skor_industri,skor_produktivitas,akses_kur,skor_akses_modal,skor_infrastruktur_ekonomi,skor_ekonomi_total,kategori_ekonomi,cluster,label
3501060015,PACITAN,ARJOSARI,GAYUHAN,2,-8.1049413,2,111.1431801,688,2752,79,11.482558139534884,32.510648302133404,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,10,0,10,100,30.303030303030305,44.09090909090909,100,100,0,41.85872268159396,Berkembang,0,Desa Subsisten Pertanian
3501060016,PACITAN,ARJOSARI,KARANGREJO,2,-8.0878089,2,111.1371356,942,3768,35,3.715498938428875,78.16195559025199,1,pertanian,False,False,False,False,True,1,100,0,100,0,0,0.0,0,4,4,100,100.0,60.0,100,0.0,14,0,14,100,42.42424242424242,47.72727272727273,100,100,0,56.472307079381174,Transisi,0,Desa Subsisten Pertanian
3501060017,PACITAN,ARJOSARI,KARANGGEDE,2,-8.0608762,2,111.1384919,1472,5888,13,0.8831521739130435,94.80922570182892,1,pertanian,False,False,False,False,True,2,100,0,100,2,100,66.66666666666666,0,1,1,100,25.0,64.16666666666666,100,0.0,26,0,26,100,78.78787878787878,58.63636363636363,100,100,0,64.4030640012148,Transisi,0,Desa Subsisten Pertanian
3501070001,PACITAN,NAWANGAN,GONDANG,2,-8.0397785,2,111.1869862,1764,7056,15,0.8503401360544218,95.00208021526176,1,pertanian,False,False,False,False,True,1,100,0,100,2,100,66.66666666666666,0,2,2,100,50.0,71.66666666666666,100,0.0,6,0,6,100,18.181818181818183,40.45454545454545,100,100,0,61.78082308411847,Transisi,0,Desa Subsisten Pertanian
3501070002,PACITAN,NAWANGAN,MUJING,2,-8.0093096,2,111.1852378,2269,9076,34,1.4984574702512121,91.19273580110294,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,1,1,2,100,50.0,58.33333333333333,100,50.0,2,0,2,100,6.0606060606060606,54.31818181818182,100,100,0,60.961062738154524,Transisi,3,Desa Produktif
3501070004,PACITAN,NAWANGAN,NAWANGAN,2,-7.9979651,2,111.1883219,2187,8748,13,0.594421582075903,96.5062552506137,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,0.0,2,2,4,100,12.121212121212121,38.63636363636363,100,100,0,54.618988055077665,Transisi,0,Desa Subsisten Pertanian
3501070005,PACITAN,NAWANGAN,TOKAWI,2,-7.9938443,2,111.1352996,2121,8484,20,0.942951438000943,94.45775231791401,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,1,1,100,25.0,50.83333333333333,100,0.0,3,0,3,100,9.090909090909092,37.72727272727273,100,100,0,55.75458959463001,Transisi,0,Desa Subsisten Pertanian
3501070006,PACITAN,NAWANGAN,JETISLOR,2,-7.9881205,2,111.1842408,1474,5896,23,1.5603799185888738,90.82878328781545,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,0,0,0,0,0.0,43.33333333333333,100,50.0,1,0,1,100,3.0303030303030303,53.40909090909091,100,100,0,56.89280188255992,Transisi,3,Desa Produktif
3501070007,PACITAN,NAWANGAN,PENGGUNG,2,-7.9520954,2,111.1668701,2382,9528,65,2.72879932829555,83.96133550187272,1,pertanian,False,False,False,False,True,1,100,0,100,2,100,66.66666666666666,0,0,0,0,0.0,56.666666666666664,100,0.0,2,2,4,100,12.121212121212121,38.63636363636363,100,100,0,54.81609145122575,Transisi,0,Desa Subsisten Pertanian
3501070008,PACITAN,NAWANGAN,PAKISBARU,2,-7.9569202,2,111.1886671,1724,6896,36,2.088167053364269,87.72668607849893,1,pertanian,False,False,False,False,True,1,100,0,100,1,100,33.33333333333333,1,1,2,100,50.0,58.33333333333333,100,50.0,20,2,22,100,66.66666666666666,72.5,100,100,0,64.64000485295807,Transisi,3,Desa Produktif
